name,Product Name Alternative,brand,manufacturer,PriorityIndex,category,sp,margin,margin%,mrp,DealerPrice,discount,gst,weight,availability,description,imageUrl,productImageUrl
"Dettol Disinfectant Skin & Surface Wipes, Original",,Dettol,Reckitt Benckiser,6,Household Items,103,,10,129,116.1,20%,18%,40 counts,Y,"ANTIBACTERIAL DISINFECTANT CLEANING WIPES – Protection from 99.9% Germs. RESEALABLE, MOISTURE-LOCK PACK - Contemporary airtight seal to lock in more moisture than ever before for thicker, moisture-rich wipes. SAFE ON SKIN: Sanitize and clean hands, wrists, elbows and other exposed parts of the body. ON-THE GO PROTECTION: Easy to carry for use in commute, office and public spaces. Safe on electronics and other surfaces that are germ hotspots. PRACTICAL FOR EVERYDAY USE - Safe for use in kitchen, appliances, door knobs and bathroom surfaces.",,https://images-na.ssl-images-amazon.com/images/I/513QlgcDbVL._SL1000_.jpg
"Dettol Disinfectant Skin & Surface Wipes, Original",,Dettol,Reckitt Benckiser,6,Household Items,175,,10,219,197.1,20%,18%,80 counts,Y,"ANTIBACTERIAL DISINFECTANT CLEANING WIPES – Protection from 99.9% Germs. RESEALABLE, MOISTURE-LOCK PACK - Contemporary airtight seal to lock in more moisture than ever before for thicker, moisture-rich wipes. SAFE ON SKIN: Sanitize and clean hands, wrists, elbows and other exposed parts of the body. ON-THE GO PROTECTION: Easy to carry for use in commute, office and public spaces. Safe on electronics and other surfaces that are germ hotspots. PRACTICAL FOR EVERYDAY USE - Safe for use in kitchen, appliances, door knobs and bathroom surfaces.",,https://images-na.ssl-images-amazon.com/images/I/51Spy-tFMqL._SL1000_.jpg
"Dettol Disinfectant Skin & Surface Wipes, Floral",,Dettol,Reckitt Benckiser,6,Household Items,175,,10,219,197.1,20%,18%,80 counts,Y,"ANTIBACTERIAL DISINFECTANT CLEANING WIPES – Protection from 99.9% Germs. RESEALABLE, MOISTURE-LOCK PACK - Contemporary airtight seal to lock in more moisture than ever before for thicker, moisture-rich wipes. SAFE ON SKIN: Sanitize and clean hands, wrists, elbows and other exposed parts of the body. ON-THE GO PROTECTION: Easy to carry for use in commute, office and public spaces. Safe on electronics and other surfaces that are germ hotspots. PRACTICAL FOR EVERYDAY USE - Safe for use in kitchen, appliances, door knobs and bathroom surfaces.",,https://images-na.ssl-images-amazon.com/images/I/51mkAvvRHqL._SL1000_.jpg
"Dettol Liquid Disinfectant Cleaner for Home, Lime Fresh",,Dettol,Reckitt Benckiser,6,Household Items,278,,10,347,312.3,20%,18%,1 ltr,Y,DISINFECTANT LIQUID: Protects from 100 illness causing germs. MULTIPURPOSE CLEANER: Great for everyday personal and home hygiene. LIME FRAGRANCE: Anti-bacterial disinfectant liquid cleaner has a fresh lime fragrance. DERMATOLOGICALLY TESTED: Dettol Multi-purpose cleaner is safe on skin and on all surfaces. DOCTOR RECOMMENDED: All Dettol products are recommended by the Indian Medical Association (IMA).,,https://images-na.ssl-images-amazon.com/images/I/61-rxQB%2BrSL._SL1000_.jpg
"Dettol Liquid Disinfectant for Multi-Purpose Germ Protection, Menthol Cool",,Dettol,Reckitt Benckiser,6,Household Items,154,,10,193,173.7,20%,18%,500 ml,Y,DISINFECTANT LIQUID: Protects from 100 illness causing germs. MULTIPURPOSE CLEANER: Great for everyday personal and home hygiene. LIME FRAGRANCE: Anti-bacterial disinfectant liquid cleaner has a fresh lime fragrance. DERMATOLOGICALLY TESTED: Dettol Multi-purpose cleaner is safe on skin and on all surfaces. DOCTOR RECOMMENDED: All Dettol products are recommended by the Indian Medical Association (IMA).,,https://images-na.ssl-images-amazon.com/images/I/61CVgEB-KDL._SL1000_.jpg
"Dettol Disinfectant Spray Sanitizer for Germ Protection on Hard & Soft Surfaces, Original Pine",,Dettol,Reckitt Benckiser,6,Household Items,127,,10,159,143.1,20%,18%,225 ml,Y,Protection: Protects from 100 illness causing germs. For Hard & Soft Surface: Alcohol (denatured) surface Disinfectant spray for everyday home hygiene. Disinfectant: Anti-bacterial Disinfectant spray cleaner leaves behind original pine fragrance. Doctor Recommended: All Dettol products are recommended by the Indian Medical Association (IMA).,,https://images-na.ssl-images-amazon.com/images/I/514fxKgoJnL._SL1000_.jpg
"Dettol Disinfectant Spray Sanitizer for Germ Protection on Hard & Soft Surfaces, Spring Blossom",,Dettol,Reckitt Benckiser,6,Household Items,127,,10,159,143.1,20%,18%,225 ml,Y,Protection: Protects from 100 illness causing germs. For Hard & Soft Surface: Alcohol (denatured) surface Disinfectant spray for everyday home hygiene. Disinfectant: Anti-bacterial Disinfectant spray cleaner leaves behind original pine fragrance. Doctor Recommended: All Dettol products are recommended by the Indian Medical Association (IMA).,,https://images-na.ssl-images-amazon.com/images/I/51fnqfQUfJL._SL1000_.jpg
Dettol Original Germ Protection Alcohol based Hand Sanitizer,,Dettol,Reckitt Benckiser,6,Household Items,20,,10,25,22.5,20%,18%,50 ml,Y,"Trusted Dettol Formula; Protects from 100 Illness Causing Germs. Germ protection in the classic Dettol fragrance. Rinse Free and Non sticky. Store below 30°C. Use Dettol Hand Sanitizer to protect transference of germs from your hands anytime, anywhere without Soap or Water. Recommended by the Indian Medical Association.",,https://images-na.ssl-images-amazon.com/images/I/514AzfQRCOL._SL1100_.jpg
Dettol Original Germ Protection Alcohol based Hand Sanitizer,,Dettol,Reckitt Benckiser,6,Household Items,200,,10,250,225,20%,18%,500 ml,Y,"Trusted Dettol Formula; Protects from 100 Illness Causing Germs. Germ protection in the classic Dettol fragrance. Rinse Free and Non sticky. Store below 30°C. Use Dettol Hand Sanitizer to protect transference of germs from your hands anytime, anywhere without Soap or Water. Recommended by the Indian Medical Association.",,https://images-na.ssl-images-amazon.com/images/I/51yfKqpz7xL._SL1000_.jpg
"Dettol After Detergent Wash Liquid Laundry Sanitizer, Fresh Linen",,Dettol,Reckitt Benckiser,6,Household Items,232,,10,290,261,20%,18%,960 ml,Y,"Laundry Sanitizer hygienically cleans your clothes, Clothes conditioner that eliminates odor-causing bacteria. Suitable for all fabrics and clothes; Gentle on clothes laundry liquid for effective protection. This can be used with any washing machine detergent or washing powder - Surf excel matic Top load, Surf excel matic Front load, Ariel Matic Top load, Ariel Matic Front load, Tide etc. The laundry liquid sanitizer is recommended by Indian Medical Association (IMA). The clothes conditioner is gentle on clothes and freshens them with a delightful fresh linen fragrance.",,https://images-na.ssl-images-amazon.com/images/I/51vujxUmlBL._SL1000_.jpg
"Dettol After Detergent Wash Liquid Laundry Sanitizer, Spring Blossom",,Dettol,Reckitt Benckiser,6,Household Items,232,,10,290,261,20%,18%,960 ml,Y,"Laundry Sanitizer hygienically cleans your clothes, Clothes conditioner that eliminates odor-causing bacteria. Suitable for all fabrics and clothes; Gentle on clothes laundry liquid for effective protection. This can be used with any washing machine detergent or washing powder - Surf excel matic Top load, Surf excel matic Front load, Ariel Matic Top load, Ariel Matic Front load, Tide etc. The laundry liquid sanitizer is recommended by Indian Medical Association (IMA). The clothes conditioner is gentle on clothes and freshens them with a delightful fresh linen fragrance.",,https://images-na.ssl-images-amazon.com/images/I/51S5%2BiYCpJL._SL1000_.jpg
"Dettol After Detergent Wash Liquid Laundry Sanitizer, Fresh Linen",,Dettol,Reckitt Benckiser,6,Household Items,136,,10,170,153,20%,18%,480 ml,Y,"Laundry Sanitizer hygienically cleans your clothes, Clothes conditioner that eliminates odor-causing bacteria. Suitable for all fabrics and clothes; Gentle on clothes laundry liquid for effective protection. This can be used with any washing machine detergent or washing powder - Surf excel matic Top load, Surf excel matic Front load, Ariel Matic Top load, Ariel Matic Front load, Tide etc. The laundry liquid sanitizer is recommended by Indian Medical Association (IMA). The clothes conditioner is gentle on clothes and freshens them with a delightful fresh linen fragrance.",,https://images-na.ssl-images-amazon.com/images/I/51mYDv6QlIL._SL1000_.jpg
"Dettol After Detergent Wash Liquid Laundry Sanitizer, Spring Blossom",,Dettol,Reckitt Benckiser,6,Household Items,136,,10,170,153,20%,18%,480 ml,Y,"Laundry Sanitizer hygienically cleans your clothes, Clothes conditioner that eliminates odor-causing bacteria. Suitable for all fabrics and clothes; Gentle on clothes laundry liquid for effective protection. This can be used with any washing machine detergent or washing powder - Surf excel matic Top load, Surf excel matic Front load, Ariel Matic Top load, Ariel Matic Front load, Tide etc. The laundry liquid sanitizer is recommended by Indian Medical Association (IMA). The clothes conditioner is gentle on clothes and freshens them with a delightful fresh linen fragrance.",,https://images-na.ssl-images-amazon.com/images/I/51YMZK647GL._SL1000_.jpg
Gaviscon,,Gaviscon,Reckitt Benckiser,6,Personal Care,108,,10,135,120.75,20%,18%,150 ml,Y,"Releives Heartburn and indigestion in just 3 mins. Application/Dosage : As mentioned in the pack. Each 10ml of oral suspension contains 500mg sodium alginate, 267mg sodium bicarbonate and 160mg calcium carbonate as the active ingredients.",,https://images-na.ssl-images-amazon.com/images/I/71Qnv0FxiIL._SL1500_.jpg
Dettol lather shaving cream,,Dettol,Reckitt Benckiser,6,Personal Care,60,,10,75,67.5,20%,18%,1 unit,Y,"Trusted Dettol Protection; 10 X better versus ordinary shaving products. Formulated to provide a close and comfortable shave. Creates a smooth creamy lather for smooth shave. Prevents nicks, cuts and razor burns from infection. Recommended by the Indian Medical Association.",,https://images-na.ssl-images-amazon.com/images/I/51oGREdD6iL._SL1000_.jpg
Dettol Cool Shaving Cream,,Dettol,Reckitt Benckiser,6,Personal Care,60,,10,75,67.5,20%,18%,1 unit,Y,"Trusted Dettol Protection; 10 X better versus ordinary shaving products. Formulated to provide a close and comfortable shave. Creates a smooth creamy lather for smooth shave. Prevents nicks, cuts and razor burns from infection. Recommended by the Indian Medical Association.",,https://images-na.ssl-images-amazon.com/images/I/51RpSpT79ML._SL1000_.jpg
Dettol Kitchen Dish and Slab Gel (Lemon Fresh),,Dettol,Reckitt Benckiser,6,Personal Care,169,,10,211,189.9,20%,18%,750 ml,Y,Trusted Dettol formula; Protects from 100 illness causing germ. Cleans and disinfects dishes and multiple kitchen surfaces. Dermatologically tested; Safe on hands. Fresh and pleasant lemon fragnance for stronger action. Recommended by the Indian Medical Association.,,https://images-na.ssl-images-amazon.com/images/I/51-cZ-8tvoL._SL1000_.jpg
Dettol Kitchen Dish and Slab Gel (Lemon Fresh),,Dettol,Reckitt Benckiser,6,Personal Care,105,,10,131,117.9,20%,18%,400 ml,Y,Trusted Dettol formula; Protects from 100 illness causing germ. Cleans and disinfects dishes and multiple kitchen surfaces. Dermatologically tested; Safe on hands. Fresh and pleasant lemon fragnance for stronger action. Recommended by the Indian Medical Association.,,https://m.media-amazon.com/images/I/51t9j2bO2XL._SL1000_.jpg
"Dettol Cambridge N95 Mask for Protection from Virus, Bacteria, Pollution – Reusable, Washable, with Breathing Valve (Black)",,Dettol,Reckitt Benckiser,9,Personal Care,1759,,20,2199,1759.2,20%,0%,1,Y,"Dettol Cambridge N95 mask filters over 95 percent of viruses, bacteria, pollution, and PM 2.5. Washable and reusable, average life of up to 45 days. Breathing valve and adjustable earloops for added comfort.",,https://images-na.ssl-images-amazon.com/images/I/61iB80stboL._SL1000_.jpg
Dettol & Moms Bathing Soap Sandal Pack of 4,,Dettol,Reckitt Benckiser,6,Personal Care,96,,8,120,110.4,20%,18%,75 gm,Y,"Zero % Parabens, Zero % Talc and Zero % Artificial Dyes. Ingredients approved by moms. 100% Better Protection. Free from harsh residue. Fragrance infused with 100% sandal essence",,https://images-na.ssl-images-amazon.com/images/I/61285ejx1oL._SL1000_.jpg
Dettol & Moms Bathing Soap Citrus Pack of 4,,Dettol,Reckitt Benckiser,6,Personal Care,156,,8,195,179.4,20%,18%,125 gm,Y,"Zero % Parabens, Zero % Talc and Zero % Artificial Dyes. Ingredients approved by moms. 100% Better Protection. Free from harsh residue. Fragrance infused with 100% citrus essence.",,https://images-na.ssl-images-amazon.com/images/I/61Tjp4v0%2BpL._SL1000_.jpg
Dettol & Moms Bathing Soap Citrus Pack of 4,,Dettol,Reckitt Benckiser,6,Personal Care,96,,8,120,110.4,20%,18%,75 gm,Y,"Zero % Parabens, Zero % Talc and Zero % Artificial Dyes. Ingredients approved by moms. 100% Better Protection. Free from harsh residue. Fragrance infused with 100% citrus essence.",,https://images-na.ssl-images-amazon.com/images/I/612LhJzFBbL._SL1000_.jpg
Dettol Original Germ Protection Bathing Soap bar Buy 4 Get 1 Free,,Dettol,Reckitt Benckiser,6,Personal Care,166,,8,208,191.36,20%,18%,125 gm,Y,Daily Protection: Dettol Bathing soap bar provides protection from a range of germs. Germ Protection: Deeply cleanses and protects your skin from 100 illness-causing germs. Healthy Skin: Contains more than 80% naturally derived ingredients and glycerin to keep skin moisturized and healthy. Doctor Recommended: All Dettol products are recommended by Indian Medical Association (IMA).,,https://images-na.ssl-images-amazon.com/images/I/61R9Fg4UGmL._SL1000_.jpg
Dettol Original Germ Protection Bathing Soap bar Pack of 4,,Dettol,Reckitt Benckiser,6,Personal Care,79,,8,99,91.1,20%,18%,75 gm,Y,Daily Protection: Dettol Bathing soap bar provides protection from a range of germs. Germ Protection: Deeply cleanses and protects your skin from 100 illness-causing germs. Healthy Skin: Contains more than 80% naturally derived ingredients and glycerin to keep skin moisturized and healthy. Doctor Recommended: All Dettol products are recommended by Indian Medical Association (IMA).,,https://images-na.ssl-images-amazon.com/images/I/61I1nJx3ziL._SL1000_.jpg
Dettol Cool Germ Protection Bathing Soap bar (Pack of 5),,Dettol,Reckitt Benckiser,6,Personal Care,166,,8,208,191.36,20%,18%,125 gm,Y,Daily Protection: Dettol Bathing soap bar provides protection from a range of germs. Germ Protection: Deeply cleanses and protects your skin from 100 illness-causing germs. Healthy Skin: Contains more than 80% naturally derived ingredients and glycerin to keep skin moisturized and healthy. Doctor Recommended: All Dettol products are recommended by Indian Medical Association (IMA).,,
Dettol Cool Germ Protection Bathing Soap bar (Pack of 4),,Dettol,Reckitt Benckiser,6,Personal Care,79,,8,99,91.1,20%,18%,75 gm,Y,Daily Protection: Dettol Bathing soap bar provides protection from a range of germs. Germ Protection: Deeply cleanses and protects your skin from 100 illness-causing germs. Healthy Skin: Contains more than 80% naturally derived ingredients and glycerin to keep skin moisturized and healthy. Doctor Recommended: All Dettol products are recommended by Indian Medical Association (IMA).,,https://images-na.ssl-images-amazon.com/images/I/611V14raZfL._SL1000_.jpg
